Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.023141,0.0071464,-2.5905E-08,0,0,0,11.505,0.057941,-0.0048362,-2.5661E-08,0.17549,-6.1659E-08,0.1801,0,0,0,0,0,0,package://xytronY/meshes/base_link.STL,192,192,192,1,0,0,0,0,0,0,package://xytronY/meshes/base_link.STL,,body-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
F_R_link,0,0,0.043695,0,0,0,0.39886,0.000348,0,-1.8117E-21,0.000348,5.4102E-22,0.00048566,0,0,0,0,0,0,package://xytronY/meshes/F_R_link.STL,1,1,1,1,0,0,0,0,0,0,package://xytronY/meshes/F_R_link.STL,,wh-2,Origin_F_R_joint,Axis_F_R_joint,F_R_joint,continuous,0.16081,-0.023,-0.0621,1.5708,-0.68589,0,base_link,0,0,1,,,,,,,,,,,,
F_L_link,4.1633E-17,4.1633E-17,0.039695,0,0,0,0.39886,0.000348,2.7105E-20,-6.9279E-21,0.000348,6.0116E-21,0.00048566,0,0,0,0,0,0,package://xytronY/meshes/F_L_link.STL,1,1,1,1,0,0,0,0,0,0,package://xytronY/meshes/F_L_link.STL,,wh-4,Origin_F_L_joint,Axis_F_L_joint,F_L_joint,continuous,0.16081,0.027,-0.0621,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,
B_R_link,-2.0817E-17,-2.7756E-17,0.043695,0,0,0,0.39886,0.000348,-2.7105E-20,-5.7064E-21,0.000348,9.0481E-21,0.00048566,0,0,0,0,0,0,package://xytronY/meshes/B_R_link.STL,1,1,1,1,0,0,0,0,0,0,package://xytronY/meshes/B_R_link.STL,,wh-1,Origin_B_R_joint,Axis_B_R_joint,B_R_joint,continuous,-0.17419,-0.023,-0.0621,1.5708,0.9325,0,base_link,0,0,1,,,,,,,,,,,,
B_L_link,-5.5511E-17,-2.7756E-17,0.039695,0,0,0,0.39886,0.000348,0,-6.9279E-21,0.000348,6.0116E-21,0.00048566,0,0,0,0,0,0,package://xytronY/meshes/B_L_link.STL,1,1,1,1,0,0,0,0,0,0,package://xytronY/meshes/B_L_link.STL,,wh-3,Origin_B_L_joint,Axis_B_L_joint,B_L_joint,continuous,-0.17419,0.027,-0.0621,1.5708,0.39309,-3.1416,base_link,0,0,1,,,,,,,,,,,,
Lidar_link,-2.7756E-17,-1.3976E-17,0.0015995,0,0,0,0.076576,2.1671E-05,-5.6231E-54,9.1835E-38,2.1671E-05,-1.3832E-22,2.393E-05,0,0,0,0,0,0,package://xytronY/meshes/Lidar_link.STL,0,1,0,1,0,0,0,0,0,0,package://xytronY/meshes/Lidar_link.STL,,파트3-1,Origin_Lidar_joint,Axis_Lidar_joint,Lidar_joint,continuous,0.19412,0,0,3.1416,0,0,base_link,0,0,1,,,,,,,,,,,,
Ulteasonic_R_link,-0.00026757,1.7347E-18,0.0067753,0,0,0,0.0079276,3.6324E-07,-9.8319E-24,5.7795E-09,1.5422E-06,9.4032E-23,1.5263E-06,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_R_link.STL,0,0,1,1,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_R_link.STL,,s-4,Origin_Ulteasonic_R_joint,,Ulteasonic_R_joint,fixed,0.010615,-0.0905,-0.0050995,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
Ulteasonic_L_link,-0.00026757,1.7347E-18,0.0067753,0,0,0,0.0079276,3.6324E-07,2.1393E-23,5.7795E-09,1.5422E-06,8.3254E-23,1.5263E-06,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_L_link.STL,0,0,1,1,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_L_link.STL,,s-1,Origin_Ulteasonic_L_joint,,Ulteasonic_L_joint,fixed,0.010615,0.0905,-0.0050995,1.5708,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
Ulteasonic_B_R_link,-0.00026757,5.2042E-18,0.0067753,0,0,0,0.0079276,3.6324E-07,3.251E-22,5.7795E-09,1.5422E-06,2.1071E-22,1.5263E-06,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_R_link.STL,0,0,1,1,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_R_link.STL,,s-5,Origin_Ulteasonic_B_R_joint,,Ulteasonic_B_R_joint,fixed,-0.27028,-0.062687,-0.0050995,1.5708,0,-0.95993,base_link,0,0,0,,,,,,,,,,,,
Ulteasonic_B_L_link,-0.00026757,8.6736E-19,0.0067753,0,0,0,0.0079276,3.6324E-07,-3.1438E-22,5.7795E-09,1.5422E-06,1.025E-22,1.5263E-06,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_L_link.STL,0,0,1,1,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_L_link.STL,,s-3,Origin_Ulteasonic_B_L_joint,,Ulteasonic_B_L_joint,fixed,-0.27028,0.062687,-0.0050995,1.5708,0,-2.1817,base_link,0,0,0,,,,,,,,,,,,
Ulteasonic_B_M_link,-0.00026757,-1.7347E-18,-0.0067753,0,0,0,0.0079276,3.6324E-07,1.3884E-23,-5.7795E-09,1.5422E-06,9.7284E-23,1.5263E-06,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_M_link.STL,0,0,1,1,0,0,0,0,0,0,package://xytronY/meshes/Ulteasonic_B_M_link.STL,,s-2,Origin_Ulteasonic_B_M_joint,,Ulteasonic_B_M_joint,fixed,-0.28988,0,-0.0050995,-1.5708,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
cam_link,0.016638,0.0004604,6.5384E-22,0,0,0,0.0037561,2.1559E-07,5.3104E-09,-6.8025E-25,1.6276E-07,8.7938E-24,1.3133E-07,0,0,0,0,0,0,package://xytronY/meshes/cam_link.STL,1,0,0,1,0,0,0,0,0,0,package://xytronY/meshes/cam_link.STL,,cam-2,Origin_cam_joint,,cam_joint,fixed,0.14716,0,0.07398,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
